"","PMI","P"
"1",53.3333333333333,0.02
"2",71.4285714285714,0.38
"3",47.0588235294118,0.06
"4",35.1351351351351,0.53
"5",36.734693877551,0.11
"6",66.6666666666667,0
"7",45.3333333333333,0
"8",44.6280991735537,0
"9",57.7319587628866,0
"10",50.7462686567164,0
"11",63.1578947368421,0
"12",67.4418604651163,0
"13",65.1162790697674,0.04
"14",79.6238244514107,0
"15",25,0.09
"16",46.8468468468468,0
"17",100,0
