Case,full_simi,melody_simi,lyrics_simi,full_random_simi,melody_random_simi,lyrics_random_simi,PMI
0,4.2,2.9,4,1.35,1.65,1.25,53.33333333
1,3.75,2.6,2.8,1.6,1.8,1.25,71.42857143
2,3.65,3.25,3.7,1.55,1.5,1.2,47.05882353
3,2.75,1.85,3,1.55,1.95,1.15,35.13513514
4,2.7,2,,1.45,1.9,1.15,36.73469388
5,3.3,3.8,,1.85,1.6,1.45,66.66666667
6,3.15,4.35,1.25,1.5,1.7,1.4,45.33333333
7,3.45,3,1.4,1.6,1.8,1.35,44.62809917
8,2.5,3.25,1.3,1.8,1.8,1.25,57.73195876
9,3.6,2.85,,1.9,1.8,1.25,50.74626866
10,3.25,3.65,1.65,1.5,1.8,1.25,63.15789474
11,3.45,3.3,1.4,1.4,1.5,1.25,67.44186047
12,3.4,3.8,1.35,1.85,1.7,1.25,65.11627907
13,4,3.6,1.8,1.65,1.7,1.35,79.62382445
14,3.15,2.9,1.4,1.5,1.55,1.25,25
15,3.6,3.2,1.55,1.55,1.45,1.2,46.84684685
16,4.25,4.35,2,1.35,1.55,1.15,100
